,Acral_Lentiginous_Melanoma,Healthy_Nail,Onychogryphosis,blue_finger,clubbing,pitting
Acral_Lentiginous_Melanoma,112,0,0,1,0,0
Healthy_Nail,0,51,0,0,0,0
Onychogryphosis,1,0,100,0,2,1
blue_finger,0,0,0,92,0,0
clubbing,1,0,1,2,112,2
pitting,2,0,0,0,1,95
