class,precision,recall,f1_score,support,class_accuracy
Acral_Lentiginous_Melanoma,94.70198675496688,95.33333333333334,95.01661129568106,150,95.33333333333334
Healthy_Nail,98.48484848484848,95.58823529411765,97.01492537313433,68,95.58823529411765
Onychogryphosis,100.0,94.92753623188406,97.39776951672863,138,94.92753623188406
blue_finger,94.5945945945946,85.36585365853658,89.74358974358975,123,85.36585365853658
clubbing,89.14285714285714,100.0,94.25981873111783,156,100.0
pitting,97.72727272727273,98.47328244274809,98.09885931558935,131,98.47328244274809
