epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_time_seconds
1,1.2830923649235668,65.4380341880342,0.8905821645652855,78.02197802197803,0.0001,111.90755295753479
2,0.7075795327496325,83.52029914529915,0.6852736751456837,85.71428571428571,0.0001,36.24978423118591
3,0.5874210023599812,88.38141025641025,0.6118578275481423,89.01098901098901,0.0001,36.78463912010193
4,0.4989696916861412,91.26602564102564,0.5766364067465395,84.61538461538461,0.0001,36.93532705307007
5,0.44389721420076156,94.57799145299145,0.4847331990252484,92.3076923076923,0.0001,36.69895315170288
6,0.4153092869071879,95.72649572649573,0.4731502270960546,96.7032967032967,0.0001,37.035834074020386
7,0.37656348819533986,97.38247863247864,0.5080345718415229,94.5054945054945,0.0001,36.797895669937134
8,0.3743081884379061,97.16880341880342,0.45983203033824543,93.4065934065934,0.0001,36.488263845443726
9,0.34799107275584823,98.58440170940172,0.4714992950250814,93.4065934065934,0.0001,36.53176307678223
10,0.3372933351012886,98.58440170940172,0.4279832063795446,96.7032967032967,0.0001,36.713353395462036
11,0.3311532026745825,98.87820512820514,0.48408545340810505,92.3076923076923,0.0001,36.877437114715576
12,0.3303796760737896,98.95833333333334,0.36849887914709994,96.7032967032967,0.0001,37.73392033576965
13,0.3157284339714764,99.33226495726495,0.4087197682359716,95.6043956043956,0.0001,36.513630628585815
14,0.3131782677120123,99.35897435897436,0.3793685357649248,95.6043956043956,0.0001,37.598390102386475
15,0.31099338533404547,99.38568376068376,0.371284007698625,95.6043956043956,0.0001,36.84723162651062
16,0.30842944791811144,99.30555555555556,0.35906441100351105,96.7032967032967,0.0001,37.32336497306824
17,0.2974175752546543,99.59935897435898,0.4130592241392031,96.7032967032967,0.0001,37.322142601013184
18,0.29436993563913894,99.73290598290599,0.36765194168457616,96.7032967032967,0.0001,37.762781381607056
19,0.2900860304188015,99.78632478632478,0.36902202911429355,95.6043956043956,0.0001,37.562525033950806
20,0.2929989129432246,99.65277777777779,0.34865648569641533,95.6043956043956,0.0001,39.38058090209961
21,0.2918148911597892,99.51923076923077,0.41643789901838196,93.4065934065934,0.0001,38.12437629699707
22,0.29712840609061414,99.38568376068376,0.3603664472862914,95.6043956043956,0.0001,38.2714319229126
23,0.2905834771246992,99.67948717948718,0.34940350841689893,95.6043956043956,0.0001,37.22834229469299
24,0.283121502552277,99.83974358974359,0.3483413087797689,96.7032967032967,0.0001,36.92119216918945
25,0.2805660348226372,99.9198717948718,0.3243376069016509,97.8021978021978,0.0001,37.683435916900635
26,0.2767455978080248,99.8931623931624,0.30685036981498803,97.8021978021978,0.0001,38.00365495681763
27,0.2772707230705991,99.8931623931624,0.3140981138407529,96.7032967032967,0.0001,37.27313733100891
28,0.2813921762773624,99.8130341880342,0.3164826588971274,97.8021978021978,0.0001,37.25250172615051
29,0.2775612785839118,99.78632478632478,0.32390789638508805,96.7032967032967,0.0001,37.82447791099548
30,0.2880995633383083,99.43910256410257,0.30561676981684927,96.7032967032967,0.0001,37.933286905288696
31,0.2819133933283325,99.65277777777779,0.31761462347848074,97.8021978021978,0.0001,38.272523164749146
32,0.27302835295852435,99.9732905982906,0.2775125379090781,100.0,0.0001,45.308526039123535
33,0.27753496399292577,99.8130341880342,0.3767717660783411,94.5054945054945,0.0001,38.06632089614868
34,0.27706115801110226,99.75961538461539,0.29275170001354844,98.9010989010989,0.0001,38.814963817596436
35,0.27205124287269056,99.86645299145299,0.32944734738423276,96.7032967032967,0.0001,38.39891195297241
36,0.27537142081011057,99.73290598290599,0.403064129116771,92.3076923076923,5e-05,38.38922929763794
37,0.2691368442506362,99.9732905982906,0.3750258775857779,94.5054945054945,5e-05,38.16288137435913
38,0.26809448659674734,99.94658119658119,0.33404046297073364,97.8021978021978,5e-05,37.0992910861969
39,0.2688176967840419,99.86645299145299,0.3368416553015237,97.8021978021978,5e-05,37.442094564437866
40,0.26687954121038443,99.8931623931624,0.31873758644848077,98.9010989010989,2.5e-05,36.66652536392212
41,0.26574683237152225,99.9198717948718,0.33096260618377515,96.7032967032967,2.5e-05,36.80431389808655
42,0.2639750106912902,100.0,0.3071228102013305,97.8021978021978,2.5e-05,41.10030937194824
