true_class,total_images,incorrect_predictions,correct_predictions,error_rate_percentage,accuracy_percentage
blue_finger,123,18,105,14.634146341463413,85.36585365853658
Onychogryphosis,138,7,131,5.072463768115942,94.92753623188406
Acral_Lentiginous_Melanoma,150,7,143,4.666666666666667,95.33333333333334
Healthy_Nail,68,3,65,4.411764705882353,95.58823529411765
pitting,131,2,129,1.5267175572519083,98.47328244274809
clubbing,156,0,156,0.0,100.0
