class,precision,recall_sensitivity,specificity,f1_score,support
Acral_Lentiginous_Melanoma,1.0,0.9911504424778761,1.0,0.9955555555555555,113
Healthy_Nail,1.0,0.9607843137254902,1.0,0.98,51
Onychogryphosis,1.0,0.9807692307692307,1.0,0.9902912621359223,104
blue_finger,0.9578947368421052,0.9891304347826086,0.9917355371900827,0.9732620320855615,92
clubbing,0.975,0.9915254237288136,0.9934497816593887,0.9831932773109243,118
pitting,0.9795918367346939,0.9795918367346939,0.99581589958159,0.9795918367346939,98
