epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_time_seconds
1,0.6850329930665063,80.32786885245902,0.4805582880973816,90.78260869565217,0.0001,77.71156120300293
2,0.3609513260213167,95.97615499254843,0.42619181410126067,94.78260869565217,0.0001,58.819342613220215
3,0.35551895749728835,96.274217585693,0.3744665023554926,95.30434782608695,0.0001,58.68440580368042
4,0.32055145362183873,97.72727272727273,0.4191311639288197,93.04347826086956,0.0001,58.4994056224823
5,0.3435287405410573,96.53502235469449,0.4905341381612031,92.17391304347827,0.0001,58.555673599243164
6,0.29273824016223543,98.6214605067064,0.3706928798945054,94.95652173913044,0.0001,58.48503804206848
7,0.2995560417276559,98.65871833084948,0.43452665080194885,94.26086956521739,0.0001,58.699991941452026
8,0.321836308599762,97.54098360655738,0.35255433341731196,96.86956521739131,0.0001,58.63227939605713
9,0.31365849408591734,97.87630402384501,0.4634984920854154,93.21739130434783,0.0001,58.33344101905823
10,0.3822360216860622,95.11922503725782,0.5117478571767392,91.65217391304348,0.0001,58.01503872871399
11,0.2759643300990234,99.44113263785394,0.3687778101278388,96.52173913043478,0.0001,58.204131841659546
12,0.29016286074759884,98.47242921013412,0.4286857983340388,93.73913043478261,5e-05,58.12475919723511
13,0.26944556694627697,99.51564828614009,0.3602101489771967,96.69565217391303,5e-05,58.06242251396179
14,0.26152727625231453,99.92548435171386,0.34800806548284446,97.04347826086956,5e-05,57.97701168060303
15,0.25900710739428523,99.96274217585693,0.33793948023215586,97.3913043478261,5e-05,58.38098073005676
16,0.2611288294173921,99.8882265275708,0.3434113122069317,97.3913043478261,5e-05,58.29914736747742
17,0.2596231352110378,99.92548435171386,0.3560151657332545,97.04347826086956,5e-05,58.24976134300232
18,0.2584610809912092,100.0,0.34658988693486087,97.73913043478261,5e-05,58.21410775184631
19,0.2581320501830645,100.0,0.34733821449072466,97.3913043478261,2.5e-05,58.24656105041504
20,0.2580712681911031,100.0,0.34345810097196827,97.3913043478261,2.5e-05,63.67308473587036
21,0.2582868237253806,99.96274217585693,0.34459538620451224,97.73913043478261,2.5e-05,58.69935154914856
22,0.2577785945063021,100.0,0.34096589985101117,97.56521739130434,2.5e-05,58.358484745025635
23,0.2578862287248478,100.0,0.34731293305106786,97.3913043478261,1.25e-05,58.39051270484924
24,0.2576016351558412,100.0,0.3447930879696556,97.3913043478261,1.25e-05,58.30631494522095
25,0.25780643000865655,100.0,0.35073587987733923,97.3913043478261,1.25e-05,58.414995431900024
