,Acral_Lentiginous_Melanoma,Healthy_Nail,Onychogryphosis,blue_finger,clubbing,pitting
Acral_Lentiginous_Melanoma,143,0,0,4,2,1
Healthy_Nail,1,65,0,0,1,1
Onychogryphosis,5,0,131,0,1,1
blue_finger,2,1,0,105,15,0
clubbing,0,0,0,0,156,0
pitting,0,0,0,2,0,129
