Class,AUC
Acral_Lentiginous_Melanoma,0.9998279783635008
Healthy_Nail,0.9994024276377217
Onychogryphosis,0.9999185136897002
blue_finger,0.999595759971254
clubbing,0.9998149655835986
pitting,0.9998505678421996
