epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_time_seconds
1,1.3435356378477612,62.78918214402085,1.008086016299519,74.54308093994779,0.0001,55.8848876953125
2,0.7507693700154933,82.53502769631802,0.9046611624037939,76.37075718015666,0.0001,32.85168504714966
3,0.6135882757975559,87.22710980775497,0.773671959616808,82.24543080939948,0.0001,33.62050795555115
4,0.5362564984304814,90.38774845226459,0.7531393660577719,83.02872062663185,0.0001,34.55735206604004
5,0.4717694539789192,93.35288367546431,0.705612885111617,85.77023498694517,0.0001,34.632792472839355
6,0.43032190796994124,94.88432714239165,0.6413835628692537,87.98955613577023,0.0001,34.73256802558899
7,0.39883900714176956,96.51352231997393,0.64220464618648,86.29242819843343,0.0001,34.4587185382843
8,0.3880384498463659,97.23036819811013,0.5878714275577983,87.85900783289817,0.0001,34.84541201591492
9,0.3605400167039024,98.1427174975562,0.5633815259286069,90.99216710182768,0.0001,34.68717074394226
10,0.3662272481780054,97.4910394265233,0.6067778199677679,87.33681462140991,0.0001,35.475693225860596
11,0.33667787005435995,98.63147605083088,0.5517652805106759,89.29503916449086,0.0001,34.74795413017273
12,0.3282608262934798,99.18540241120887,0.5298442191616984,89.55613577023499,0.0001,35.12630033493042
13,0.3269854385288036,99.34832192896708,0.5421537417655825,90.60052219321149,0.0001,35.52239799499512
14,0.3141086600859261,99.38090583251874,0.5107742074886751,90.99216710182768,0.0001,34.74196529388428
15,0.3215661873915328,99.25057021831215,0.5201882034462364,90.73107049608356,0.0001,34.8047091960907
16,0.31591098523753675,99.31573802541544,0.5299998820606162,90.33942558746736,0.0001,34.788461208343506
17,0.30931105005620707,99.41348973607037,0.48351440354987163,92.55874673629243,0.0001,34.86608624458313
18,0.3058994244717355,99.47865754317368,0.4818548418523126,92.42819843342036,0.0001,34.90026021003723
19,0.3054510827327093,99.47865754317368,0.46074879410683955,92.95039164490862,0.0001,35.02386999130249
20,0.29674477589250814,99.60899315738025,0.4512809743769175,92.95039164490862,0.0001,34.70736289024353
21,0.2935810531533553,99.60899315738025,0.47525738642670157,91.90600522193212,0.0001,35.096192836761475
22,0.2864137457476722,99.86966438579343,0.4653184926696608,93.34203655352479,0.0001,34.65183234214783
23,0.28512427097191906,99.77191267513848,0.4441856987793825,93.08093994778068,0.0001,34.6807165145874
24,0.291289339181304,99.57640925382861,0.4992274294167212,91.51436031331592,0.0001,34.87100028991699
25,0.2847857769322574,99.86966438579343,0.48309401595872625,92.55874673629243,0.0001,34.84203815460205
26,0.28047511736085806,99.90224828934507,0.4560705588318349,92.2976501305483,0.0001,34.74807667732239
27,0.28808342739478426,99.57640925382861,0.4455215074997347,94.25587467362925,5e-05,34.84189414978027
28,0.27750881996555643,99.9348321928967,0.4347178486246353,93.60313315926892,5e-05,35.21283531188965
29,0.2729709131704475,99.96741609644836,0.41515267408859013,94.38642297650131,5e-05,34.75503206253052
30,0.2721305609662201,99.9348321928967,0.42913030294151905,94.12532637075718,5e-05,35.259023666381836
31,0.27111285307307165,99.9348321928967,0.4273760389565799,94.38642297650131,5e-05,34.89443397521973
32,0.2705449863573984,99.9348321928967,0.4158696504236824,94.7780678851175,5e-05,34.94345450401306
33,0.2697964184017747,99.96741609644836,0.4182053239476276,93.47258485639686,2.5e-05,34.95048761367798
34,0.26972463863919094,99.9348321928967,0.41167180609765314,94.38642297650131,2.5e-05,34.80945587158203
35,0.2676136403761224,99.96741609644836,0.4149777455834122,94.64751958224544,2.5e-05,34.81028461456299
36,0.2677716453170963,99.96741609644836,0.40504309099274577,95.16971279373368,2.5e-05,35.18114113807678
37,0.2685544375935918,99.90224828934507,0.42568143252915563,93.60313315926892,2.5e-05,35.58789324760437
38,0.2671855179445485,99.96741609644836,0.40922900948761026,94.90861618798957,2.5e-05,34.88348174095154
39,0.26563950480681436,100.0,0.41053063050885114,94.38642297650131,2.5e-05,34.759132385253906
40,0.26633204623168283,99.9348321928967,0.4123222248205628,95.03916449086162,1.25e-05,35.12656497955322
41,0.26553505357098756,100.0,0.42508312538460713,94.12532637075718,1.25e-05,35.19088912010193
42,0.26458657576386024,100.0,0.4124940406560275,94.64751958224544,1.25e-05,35.19245624542236
43,0.26371230043740335,100.0,0.41170356572452477,95.03916449086162,1.25e-05,35.26217222213745
44,0.263809116811541,100.0,0.41598093159516236,94.51697127937337,6.25e-06,36.554781675338745
45,0.2642901239351637,99.96741609644836,0.42054382853657396,94.7780678851175,6.25e-06,35.042826652526855
46,0.26407466657428175,99.96741609644836,0.4129813629404372,95.03916449086162,6.25e-06,35.16746377944946
