class,image_count,percentage
clubbing,783,20.41720990873533
Acral_Lentiginous_Melanoma,753,19.634941329856584
Onychogryphosis,689,17.966101694915253
pitting,655,17.07953063885267
blue_finger,612,15.958279009126466
Healthy_Nail,343,8.94393741851369
