Class,Precision,Recall,F1_Score,Specificity,Support
Acral_Lentiginous_Melanoma,0.9655172413793104,0.9911504424778761,0.9781659388646288,0.9913606911447084,113
Healthy_Nail,1.0,1.0,1.0,1.0,51
Onychogryphosis,0.9900990099009901,0.9615384615384616,0.975609756097561,0.9978813559322034,104
blue_finger,0.968421052631579,1.0,0.983957219251337,0.993801652892562,92
clubbing,0.9739130434782609,0.9491525423728814,0.9613733905579399,0.9934497816593887,118
pitting,0.9693877551020408,0.9693877551020408,0.9693877551020408,0.9937238493723849,98
