Class,Precision,Recall,F1_Score,Specificity,Support
Acral_Lentiginous_Melanoma,1.0,0.9911504424778761,0.9955555555555555,1.0,113
Healthy_Nail,1.0,0.9607843137254902,0.98,1.0,51
Onychogryphosis,1.0,0.9807692307692307,0.9902912621359223,1.0,104
blue_finger,0.9578947368421052,0.9891304347826086,0.9732620320855615,0.9917355371900827,92
clubbing,0.975,0.9915254237288136,0.9831932773109243,0.9934497816593887,118
pitting,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.99581589958159,98
