Class,AUC
Acral_Lentiginous_Melanoma,0.9999235459393336
Healthy_Nail,0.999813258636788
Onychogryphosis,0.9998166558018253
blue_finger,0.9998427955443765
clubbing,0.9999074827917993
pitting,0.9998292203910852
