class,precision,recall_sensitivity,specificity,f1_score,support
Acral_Lentiginous_Melanoma,0.9658119658119658,1.0,0.9913606911447084,0.9826086956521739,113
Healthy_Nail,1.0,0.9607843137254902,1.0,0.98,51
Onychogryphosis,1.0,0.9615384615384616,1.0,0.9803921568627451,104
blue_finger,0.978494623655914,0.9891304347826086,0.9958677685950413,0.9837837837837838,92
clubbing,0.9831932773109243,0.9915254237288136,0.9956331877729258,0.9873417721518988,118
pitting,0.9795918367346939,0.9795918367346939,0.99581589958159,0.9795918367346939,98
