Class,Support,EfficientNet_Precision,Proposed_Precision,Precision_Difference,EfficientNet_Recall,Proposed_Recall,Recall_Difference,EfficientNet_F1,Proposed_F1,F1_Difference,Better_Model_F1
Acral_Lentiginous_Melanoma,113,1.0,0.9823008849557522,-0.017699115044247815,0.9911504424778761,0.9823008849557522,-0.008849557522123908,0.9955555555555555,0.9823008849557522,-0.013254670599803342,EfficientNet-B0
Healthy_Nail,51,1.0,1.0,0.0,0.9607843137254902,0.9607843137254902,0.0,0.98,0.98,0.0,Equal
Onychogryphosis,104,1.0,0.9809523809523809,-0.01904761904761909,0.9807692307692307,0.9903846153846154,0.009615384615384692,0.9902912621359223,0.9856459330143541,-0.004645329121568231,EfficientNet-B0
blue_finger,92,0.9578947368421052,0.9574468085106383,-0.0004479283314668958,0.9891304347826086,0.9782608695652174,-0.010869565217391242,0.9732620320855615,0.967741935483871,-0.005520096601690505,EfficientNet-B0
clubbing,118,0.975,0.9830508474576272,0.008050847457627186,0.9915254237288136,0.9830508474576272,-0.008474576271186418,0.9831932773109243,0.9830508474576272,-0.00014242985329715463,EfficientNet-B0
pitting,98,0.9795918367346939,0.9896907216494846,0.010098884914790718,0.9795918367346939,0.9795918367346939,0.0,0.9795918367346939,0.9846153846153847,0.005023547880690815,Proposed Model
