class,precision,recall_sensitivity,specificity,f1_score,support
Acral_Lentiginous_Melanoma,0.9823008849557522,0.9823008849557522,0.9956803455723542,0.9823008849557522,113
Healthy_Nail,1.0,0.9607843137254902,1.0,0.98,51
Onychogryphosis,0.9809523809523809,0.9903846153846154,0.9957627118644068,0.9856459330143541,104
blue_finger,0.9574468085106383,0.9782608695652174,0.9917355371900827,0.967741935483871,92
clubbing,0.9830508474576272,0.9830508474576272,0.9956331877729258,0.9830508474576272,118
pitting,0.9896907216494846,0.9795918367346939,0.997907949790795,0.9846153846153847,98
