model,total_images,accuracy_percent,precision_percent,recall_percent,f1_score_percent
densenet121,71,95.77464788732394,96.34314980793854,95.77464788732394,95.72091892011407
proposed_attention_efficientnet_b0,71,95.77464788732394,96.34314980793854,95.77464788732394,95.72091892011407
convnextv2_tiny,71,94.36619718309859,94.56338028169014,94.36619718309859,93.94815005320142
efficientnet_b0,71,92.95774647887323,93.5880582641146,92.95774647887323,92.62918782536488
