,Acral_Lentiginous_Melanoma,Healthy_Nail,Onychogryphosis,blue_finger,clubbing,pitting
Acral_Lentiginous_Melanoma,111,0,0,1,1,0
Healthy_Nail,0,49,0,2,0,0
Onychogryphosis,0,0,103,0,1,0
blue_finger,0,0,1,90,0,1
clubbing,0,0,1,1,116,0
pitting,2,0,0,0,0,96
