Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,MCC,Average_Inference_Time_ms
ConvNeXtV2-Tiny,0.9826388888888888,0.9845152839189164,0.980428411751678,0.9822863741975492,0.9826215349730092,0.9790043248439808,7.88177638898762
DenseNet121,0.9756944444444444,0.9778896837486968,0.9785382002485432,0.9780823433122512,0.9756289756645996,0.9705954439789124,4.06588194416852
EfficientNet-B0,0.984375,0.9854144289294664,0.9821586137031189,0.9836489939704428,0.9844183727681848,0.9810858504847848,2.1379208331685127
