model,model_display,total_images,accuracy_percent,average_confidence_percent,confidence_accuracy_gap_percent,calibration_behavior,ece_percent,mce_percent,brier_score,high_confidence_errors,total_errors
convnextv2_tiny,ConvNeXtV2-Tiny,71,92.95774647887323,92.13472923762362,-0.8230172412496239,Well calibrated,3.6228364622089217,29.493788878122967,0.1164696074532227,2,5
densenet121,DenseNet121,71,88.73239436619718,82.84872579322735,-5.883668572969847,Underconfident,10.23044487540151,66.41509731610616,0.2107531988449791,2,8
efficientnet_b0,EfficientNet-B0,71,91.54929577464789,84.55883415651994,-6.990461618127952,Underconfident,6.990461618127955,61.85041666030884,0.14976648288756259,0,6
proposed_attention_efficientnet_b0,Proposed Attention EfficientNet-B0,71,95.77464788732394,96.9532300704225,1.1785821830985643,Well calibrated,3.820188915492959,29.00855,0.07193602392197417,2,3
