bin_lower,bin_upper,sample_count,average_confidence,accuracy,calibration_gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,1,0.2455518692731857,0.0,0.2455518692731857
0.30000000000000004,0.4,3,0.3358490268389384,1.0,-0.6641509731610615
0.4,0.5,1,0.4722468554973602,1.0,-0.5277531445026398
0.5,0.6000000000000001,6,0.5387909710407257,0.6666666666666666,-0.12787569562594092
0.6000000000000001,0.7000000000000001,2,0.6679904758930206,1.0,-0.33200952410697937
0.7000000000000001,0.8,3,0.7658512393633524,0.3333333333333333,0.4325179060300191
0.8,0.9,18,0.8601256741417779,0.9444444444444444,-0.08431877030266655
0.9,1.0,37,0.9391542399251783,0.9459459459459459,-0.006791706020767618
