model,total_images,correct_predictions,incorrect_predictions,average_confidence,average_correct_confidence,average_incorrect_confidence,minimum_confidence,maximum_confidence,average_confidence_percent,average_correct_confidence_percent,average_incorrect_confidence_percent,minimum_confidence_percent,maximum_confidence_percent
proposed_attention_efficientnet_b0,71,68,3,0.969532300704225,0.9764416304411765,0.8129208266666668,0.52246064,1.0,96.9532300704225,97.64416304411765,81.29208266666667,52.246064000000004,100.0
convnextv2_tiny,71,67,4,0.9297990988732393,0.9500228559701493,0.5910511675000001,0.28096616,0.97977144,92.97990988732393,95.00228559701493,59.10511675000001,28.096616,97.97714400000001
densenet121,71,68,3,0.903042713943662,0.9064826475,0.8250708866666666,0.5747407,0.98837334,90.3042713943662,90.64826475,82.50708866666666,57.47407,98.837334
efficientnet_b0,71,66,5,0.8899745767605635,0.9213824412121212,0.475390766,0.38250813,0.98702943,88.99745767605634,92.13824412121213,47.5390766,38.250813,98.702943
