overall_rank,model_display,total_images,correct_predictions,total_errors,accuracy_percent,macro_precision_percent,macro_recall_percent,macro_f1_percent,weighted_f1_percent
1,Proposed Attention EfficientNet-B0,71,68,3,95.77464788732394,96.3030303030303,93.45238095238096,94.33019361590792,95.72091892011407
2,DenseNet121,71,68,3,95.77464788732394,96.3030303030303,93.45238095238096,94.33019361590792,95.72091892011407
3,ConvNeXtV2-Tiny,71,67,4,94.3661971830986,95.28571428571428,89.28571428571428,90.84616302661416,93.94815005320142
4,EfficientNet-B0,71,66,5,92.95774647887325,93.68091168091168,88.59126984126982,89.48885109599395,92.62918782536488
