model,model_display,total_images,correct_predictions,total_errors,accuracy_percent,macro_precision_percent,macro_recall_percent,macro_f1_percent,weighted_f1_percent,average_confidence_percent,confidence_accuracy_gap_percent,ece_percent,mce_percent,brier_score,high_confidence_errors,calibration_behavior,accuracy_rank,macro_f1_rank,ece_rank,brier_score_rank,overall_rank_score,overall_rank
proposed_attention_efficientnet_b0,Proposed Attention EfficientNet-B0,71,68,3,95.77464788732394,96.3030303030303,93.45238095238096,94.33019361590792,95.72091892011407,96.9532300704225,1.1785821830985643,3.820188915492959,29.00855,0.0355500354544051,2,Well calibrated,1,1,1,3,1.2999999999999998,1
densenet121,DenseNet121,71,68,3,95.77464788732394,96.3030303030303,93.45238095238096,94.33019361590792,95.72091892011407,90.3042713943662,-5.47037649295774,6.312811309859162,42.52593,0.0425579498271452,2,Underconfident,1,1,3,4,1.75,2
convnextv2_tiny,ConvNeXtV2-Tiny,71,67,4,94.3661971830986,95.28571428571428,89.28571428571428,90.84616302661416,93.94815005320142,92.97990988732391,-1.3862872957746577,5.470541690140852,69.446915,0.0255028988125871,1,Well calibrated,3,3,2,1,2.5499999999999994,3
efficientnet_b0,EfficientNet-B0,71,66,5,92.95774647887325,93.68091168091168,88.59126984126982,89.48885109599395,92.62918782536488,88.99745767605634,-3.960288802816891,10.655933394366205,59.74604,0.0257651228448543,0,Underconfident,4,4,4,2,3.6999999999999997,4
