overall_rank,model_display,average_confidence_percent,confidence_accuracy_gap_percent,ece_percent,mce_percent,brier_score,high_confidence_errors,calibration_behavior
1,Proposed Attention EfficientNet-B0,96.9532300704225,1.1785821830985643,3.820188915492959,29.00855,0.0355500354544051,2,Well calibrated
2,DenseNet121,90.3042713943662,-5.47037649295774,6.312811309859162,42.52593,0.0425579498271452,2,Underconfident
3,ConvNeXtV2-Tiny,92.97990988732391,-1.3862872957746577,5.470541690140852,69.446915,0.0255028988125871,1,Well calibrated
4,EfficientNet-B0,88.99745767605634,-3.960288802816891,10.655933394366205,59.74604,0.0257651228448543,0,Underconfident
