model,total_images,accuracy,average_confidence,confidence_accuracy_difference,calibration_tendency,ece,mce,brier_score,accuracy_percent,average_confidence_percent,confidence_accuracy_difference_percent,ece_percent,mce_percent
proposed_attention_efficientnet_b0,71,0.9577464788732394,0.969532300704225,0.011785821830985643,Overconfident,0.03820188915492959,0.2900855,0.07193602392197417,95.77464788732394,96.9532300704225,1.1785821830985643,3.820188915492959,29.00855
convnextv2_tiny,71,0.9436619718309859,0.9297990988732393,-0.013862872957746575,Underconfident,0.05470541690140852,0.69446915,0.07490996077488724,94.36619718309859,92.97990988732393,-1.3862872957746575,5.470541690140852,69.446915
densenet121,71,0.9577464788732394,0.903042713943662,-0.0547037649295774,Underconfident,0.06312811309859162,0.4252593,0.08883398097564338,95.77464788732394,90.3042713943662,-5.47037649295774,6.312811309859162,42.52593
efficientnet_b0,71,0.9295774647887324,0.8899745767605635,-0.039602888028168914,Underconfident,0.10655933394366204,0.5974604,0.07293895432253036,92.95774647887323,88.99745767605634,-3.9602888028168914,10.655933394366205,59.74604
