model,model_display,total_images,correct_predictions,total_errors,accuracy_percent,macro_precision_percent,macro_recall_percent,macro_f1_percent,weighted_f1_percent,average_confidence_percent,confidence_accuracy_gap_percent,ece_percent,mce_percent,brier_score,high_confidence_errors,calibration_behavior,accuracy_rank,macro_f1_rank,brier_score_rank
densenet121,DenseNet121,71,68,3,95.77464788732394,96.3030303030303,93.45238095238095,94.33019361590792,95.72091892011409,90.3042713943662,-5.47037649295774,10.23044487540151,66.41509731610616,0.2107531988449791,2,Underconfident,1,1,4
proposed_attention_efficientnet_b0,Proposed Attention EfficientNet-B0,71,68,3,95.77464788732394,96.3030303030303,93.45238095238095,94.33019361590792,95.72091892011409,96.9532300704225,1.1785821830985643,3.820188915492959,29.00855,0.0719360239219741,2,Well calibrated,1,1,1
convnextv2_tiny,ConvNeXtV2-Tiny,71,67,4,94.36619718309859,95.28571428571428,89.28571428571428,90.84616302661416,93.94815005320142,92.97990988732393,-1.3862872957746575,3.6228364622089217,29.493788878122967,0.1164696074532227,1,Well calibrated,3,3,2
efficientnet_b0,EfficientNet-B0,71,66,5,92.95774647887323,93.68091168091168,88.59126984126982,89.48885109599395,92.62918782536488,88.99745767605634,-3.9602888028168914,6.990461618127955,61.85041666030884,0.1497664828875625,0,Underconfident,4,4,3
