Model,Test Images,Accuracy (%),Average Confidence (%),Confidence - Accuracy (%),ECE (%),MCE (%),Brier Score
Proposed Attention EfficientNet-B0,71,95.77464788732394,96.9532300704225,1.1785821830985643,3.820188915492959,29.00855,0.0719360239219741
DenseNet121,71,95.77464788732394,90.3042713943662,-5.47037649295774,6.312811309859162,42.52593,0.0888339809756433
ConvNeXtV2-Tiny,71,94.3661971830986,92.97990988732391,-1.3862872957746577,5.470541690140852,69.446915,0.0749099607748872
EfficientNet-B0,71,92.95774647887325,88.99745767605634,-3.960288802816891,10.655933394366205,59.74604,0.0729389543225303
