Baseline Model,Proposed Model,Baseline Accuracy (%),Proposed Accuracy (%),Accuracy Difference (%),McNemar p-value,Accuracy Significance,Baseline Average Confidence,Proposed Average Confidence,Confidence Difference,Wilcoxon p-value,Confidence Significance,Rank Biserial Correlation,Effect Size,Cohens dz,Cohens dz Interpretation
convnextv2_tiny,proposed_attention_efficientnet_b0,94.3661971830986,95.77464788732394,1.4084507042253502,1.0,Not significant,0.9297990988732392,0.969532300704225,0.0397332018309859,1.581581228516149e-07,*** (p < 0.001),0.8028169014084507,Large,0.408069348686285,Small
densenet121,proposed_attention_efficientnet_b0,95.77464788732394,95.77464788732394,0.0,,No discordant pairs,0.903042713943662,0.969532300704225,0.0664895867605633,1.0088419094940515e-09,*** (p < 0.001),0.8873239436619719,Large,0.6663868520615686,Medium
efficientnet_b0,proposed_attention_efficientnet_b0,92.95774647887325,95.77464788732394,2.8169014084507005,0.5,Not significant,0.8899745767605635,0.969532300704225,0.0795577239436619,3.118163840545282e-11,*** (p < 0.001),0.943661971830986,Large,0.8107140560502768,Large
