bin_lower,bin_upper,bin_center,sample_count,average_confidence,accuracy,calibration_gap,model,model_display
0.0,0.1,0.05,0,,,,densenet121,DenseNet121
0.1,0.2,0.15000000000000002,0,,,,densenet121,DenseNet121
0.2,0.30000000000000004,0.25,0,,,,densenet121,DenseNet121
0.30000000000000004,0.4,0.35000000000000003,0,,,,densenet121,DenseNet121
0.4,0.5,0.45,2,0.472761075,0.5,-0.027238925000000025,densenet121,DenseNet121
0.5,0.6000000000000001,0.55,7,0.5612187485714286,0.5714285714285714,-0.01020982285714278,densenet121,DenseNet121
0.6000000000000001,0.7000000000000001,0.6500000000000001,9,0.6569316444444444,0.6666666666666666,-0.009735022222222223,densenet121,DenseNet121
0.7000000000000001,0.8,0.75,18,0.760361576111111,0.8333333333333334,-0.07297175722222238,densenet121,DenseNet121
0.8,0.9,0.8500000000000001,65,0.8685663836923077,0.9692307692307692,-0.10066438553846158,densenet121,DenseNet121
0.9,1.0,0.95,475,0.9389423429684212,0.9957894736842106,-0.056847130715789396,densenet121,DenseNet121
