,precision,recall,f1-score,support
Acral_Lentiginous_Melanoma,0.9,1.0,0.9473684210526315,9.0
Healthy_Nail,1.0,1.0,1.0,13.0
Onychogryphosis,1.0,0.5,0.6666666666666666,4.0
blue_finger,1.0,1.0,1.0,7.0
clubbing,0.96,1.0,0.9795918367346939,24.0
pitting,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
accuracy,0.9436619718309859,0.9436619718309859,0.9436619718309859,0.9436619718309859
macro avg,0.9528571428571427,0.8928571428571428,0.9084616302661415,71.0
weighted avg,0.9456338028169015,0.9436619718309859,0.9394815005320142,71.0
