,precision,recall,f1-score,support
Acral_Lentiginous_Melanoma,1.0,1.0,1.0,9.0
Healthy_Nail,1.0,1.0,1.0,13.0
Onychogryphosis,1.0,0.5,0.6666666666666666,4.0
blue_finger,0.7777777777777778,1.0,0.875,7.0
clubbing,0.92,0.9583333333333334,0.9387755102040817,24.0
pitting,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0
accuracy,0.9295774647887324,0.9295774647887324,0.9295774647887324,0.9295774647887324
macro avg,0.9368091168091168,0.8859126984126983,0.8948885109599395,71.0
weighted avg,0.9358805826411459,0.9295774647887324,0.9262918782536488,71.0
