,Acral_Lentiginous_Melanoma,Healthy_Nail,Onychogryphosis,blue_finger,clubbing,pitting
Acral_Lentiginous_Melanoma,9,0,0,0,0,0
Healthy_Nail,0,13,0,0,0,0
Onychogryphosis,0,0,3,0,1,0
blue_finger,0,0,0,7,0,0
clubbing,0,0,0,0,24,0
pitting,2,0,0,0,0,12
